last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,lie_detected
1.0,2.17348331417232,dpm,m,0.0,0.0,-1.2584056890029196,0
0.0,0.3059365900734627,dpm,m,0.0,0.0,-1.2584056890029196,1
0.0,-0.3165789846261565,dpm,m,0.0,0.0,-0.8697651518702314,1
0.0,-0.627836771975966,dpm,m,0.0,0.0,-0.9561297156774952,1
0.0,-1.5616101340253947,dpm,m,0.0,0.0,-0.351577769026647,1
0.0,-1.5616101340253947,dpm,m,0.0,0.0,-2.618647568967329,0
0.0,-1.5616101340253947,dpm,m,0.0,0.0,-2.1652336089791926,1
0.0,-1.5616101340253947,dpm,m,0.0,0.0,-1.8025024409886832,1
1.0,-0.8145914443858517,dpm,m,0.0,0.0,-1.4676736705359055,1
0.0,-0.9390945593257757,dpm,m,0.0,0.0,-1.2584056890029196,1
0.0,-1.0280253557114354,dpm,m,0.0,0.0,-1.077040105007665,1
0.0,-1.0947234530006804,dpm,m,0.0,0.0,-1.0983772325365184,1
0.0,-1.1465997508923154,dpm,m,0.0,0.0,-0.9561297156774952,1
1.0,2.17348331417232,dpm,m,0.0,0.0,1.4620780709258987,0
0.0,1.4264646245327772,dpm,m,0.0,0.0,1.4620780709258987,0
0.0,0.9284521647730817,dpm,m,0.0,0.0,1.4620780709258987,0
0.0,0.5727289792304422,dpm,m,0.0,0.0,1.4620780709258987,0
1.0,1.1063137575444015,dpm,m,0.0,0.0,1.1220176009347964,0
0.0,0.9284521647730817,dpm,m,0.0,0.0,0.6029779362115348,0
1.0,0.8552150383378326,dpm,m,0.0,0.0,0.6847969966605219,0
1.0,0.7973962543100039,dpm,m,0.0,0.0,0.37388456695437167,0
1.0,0.8743203756687672,dpm,m,0.0,0.0,0.37388456695437167,0
0.0,0.7728232710981771,dpm,m,0.0,0.0,0.40898758321151724,1
0.0,0.6794459348932341,dpm,m,0.0,0.0,0.4418966609525919,1
1.0,0.9284521647730817,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,0.3059365900734627,dpm,f,0.0,1.0,1.4620780709258987,0
1.0,0.3059365900734627,dpm,f,0.0,1.0,1.4620780709258987,1
1.0,0.8152675148276964,dpm,f,0.0,1.0,0.6847969966605219,1
1.0,0.8395213683874221,dpm,f,0.0,1.0,0.8219642450602943,0
0.0,0.6794459348932341,dpm,f,0.0,1.0,0.85752612427505,1
1.0,0.6355036590320846,dpm,f,0.0,1.0,0.6847969966605219,1
1.0,0.6794459348932341,dpm,f,0.0,1.0,0.5915232677486768,1
1.0,0.8288496728211429,dpm,f,0.0,1.0,0.7366157349448808,1
1.0,1.2397099521228914,dpm,m,0.0,1.0,0.5552501509496263,1
1.0,1.1063137575444015,dpm,m,0.0,1.0,0.85752612427505,0
1.0,1.1548214646638524,dpm,m,0.0,1.0,1.043542107859927,1
1.0,1.0242237916499461,dpm,m,0.0,1.0,1.0993469029353897,0
0.0,0.8395213683874221,dpm,m,0.0,1.0,0.5552501509496263,1
1.0,0.7728232710981771,dpm,m,0.0,1.0,0.6459329429472531,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.351577769026647,1
1.0,-0.3165789846261565,dpm,m,1.0,1.0,0.37388456695437167,0
0.0,-0.627836771975966,dpm,m,1.0,1.0,-0.09248407760485447,0
1.0,-0.3165789846261565,dpm,m,1.0,1.0,-0.5164555726586965,1
1.0,-0.16095009095125165,dpm,m,1.0,1.0,-0.48112461473754264,1
1.0,0.3059365900734627,dpm,m,1.0,1.0,-0.04930179570122259,1
0.0,0.16227914975816607,dpm,m,1.0,1.0,0.030244513068625745,1
1.0,0.18143347513353889,dpm,m,1.0,1.0,0.16660961381693742,1
1.0,0.4042285229207709,dpm,m,1.0,1.0,0.051456862073918676,0
1.0,0.39486738645912267,dpm,m,1.0,1.0,0.14874108337405523,1
1.0,0.3871342737299347,dpm,m,1.0,1.0,-0.13820649373811175,1
0.0,0.3059365900734627,dpm,m,1.0,1.0,-0.09248407760485447,1
1.0,0.3751049872623092,dpm,m,1.0,1.0,0.030244513068625745,0
0.0,0.3059365900734627,dpm,m,1.0,1.0,0.06695819403932539,1
1.0,0.3059365900734627,dpm,m,1.0,1.0,0.13501282218013377,1
1.0,0.3059365900734627,dpm,m,1.0,1.0,0.19673678723807647,1
0.0,0.2493442651007701,dpm,m,1.0,1.0,0.13206378829403193,1
0.0,0.1960809004205887,dpm,m,1.0,1.0,0.072894874366502,1
0.0,0.14586115657927487,dpm,m,1.0,1.0,-0.06139283463423964,1
0.0,0.0984313985069229,dpm,m,1.0,1.0,-0.03152085609384476,1
0.0,0.05356541114118476,dpm,m,1.0,1.0,-0.002797799805003638,1
1.0,0.1692868297735464,dpm,m,1.0,1.0,0.1018361909614896,1
1.0,0.34567162675641694,dpm,m,1.0,1.0,0.16660961381693742,1
1.0,0.34404978852445983,dpm,m,1.0,1.0,0.20647018172798284,1
1.0,0.44427338445115605,dpm,m,1.0,1.0,0.1774051842928454,0
1.0,0.43933278465195247,dpm,m,1.0,1.0,0.21212607312076612,0
1.0,0.5202452305438232,dpm,m,1.0,1.0,0.23786037895793066,0
1.0,0.5393799305858199,dpm,m,1.0,1.0,0.2821092111977364,0
0.0,0.5070570065148782,dpm,m,1.0,1.0,0.2961564595278337,0
1.0,0.6385134039540812,dpm,m,1.0,1.0,0.30442540712640176,1
0.0,0.6087820047921961,dpm,m,1.0,1.0,0.3166112246400806,1
0.0,-1.5616101340253947,dpm,m,0.0,0.0,-1.8025024409886832,0
1.0,2.17348331417232,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,0.3059365900734627,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,-0.3165789846261565,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,-0.627836771975966,dpm,f,0.0,1.0,1.4620780709258987,1
1.0,-0.3165789846261565,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,-0.49444057739747627,dpm,f,0.0,1.0,0.85752612427505,1
1.0,2.17348331417232,dpm,f,0.0,1.0,-0.351577769026647,0
0.0,0.3059365900734627,dpm,f,0.0,1.0,0.1018361909614896,0
1.0,0.6794459348932341,dpm,f,0.0,1.0,0.6847969966605219,0
0.0,0.3059365900734627,dpm,f,0.0,1.0,-0.804991729014783,0
1.0,0.3059365900734627,dpm,f,0.0,1.0,-1.0983772325365184,0
1.0,0.3059365900734627,dpm,f,0.0,1.0,-0.8288556216457376,1
0.0,0.1361596151553847,dpm,f,0.0,1.0,-1.1401237863973188,1
1.0,0.16227914975816607,dpm,f,0.0,1.0,-1.0491377074699337,1
0.0,0.03914420091648298,dpm,f,0.0,1.0,-0.9561297156774952,1
1.0,0.07249324956110552,dpm,f,0.0,1.0,-0.8956745210124105,1
0.0,-0.023630478885159272,dpm,f,0.0,1.0,-0.8196179857885938,1
0.0,-0.1090737930596167,dpm,f,0.0,1.0,-0.7483149840162662,1
0.0,-0.1855230741630788,dpm,f,0.0,1.0,-0.9561297156774952,1
0.0,-0.2543274271561946,dpm,f,0.0,1.0,-0.9720389774314647,1
0.0,-1.5616101340253947,dpm,m,2.0,2.0,1.4620780709258987,1
1.0,0.3059365900734627,dpm,m,2.0,2.0,1.4620780709258987,1
1.0,2.17348331417232,dpm,m,2.0,3.0,1.4620780709258987,0
1.0,0.3059365900734627,dpm,m,0.0,1.0,-0.714308937017156,0
1.0,0.3059365900734627,dpm,m,0.0,1.0,-0.578284749020715,0
1.0,2.17348331417232,dpm,m,3.0,3.0,1.4620780709258987,0
0.0,0.3059365900734627,dpm,m,3.0,3.0,-1.2584056890029196,1
0.0,-0.3165789846261565,dpm,m,3.0,3.0,-0.8697651518702314,1
0.0,-0.627836771975966,dpm,m,3.0,3.0,-1.2584056890029196,1
0.0,-0.8145914443858517,dpm,m,3.0,3.0,-1.0110889835548453,1
0.0,-0.9390945593257757,dpm,m,3.0,3.0,-0.804991729014783,1
0.0,-1.0280253557114354,dpm,m,3.0,3.0,-0.6306017444039613,1
0.0,-1.5616101340253947,dpm,m,0.0,0.0,1.4620780709258987,0
0.0,-1.5616101340253947,dpm,m,0.0,0.0,1.4620780709258987,1
1.0,0.3059365900734627,dpm,m,0.0,0.0,0.7819571309436942,0
0.0,0.03914420091648298,dpm,m,0.0,0.0,0.85752612427505,1
0.0,-1.5616101340253947,dpm,m,0.0,0.0,-1.2584056890029196,1
1.0,-0.3165789846261565,dpm,m,0.0,0.0,-0.351577769026647,1
0.0,-0.627836771975966,dpm,m,0.0,0.0,-0.09248407760485447,1
0.0,-0.8145914443858517,dpm,m,0.0,0.0,0.1018361909614896,1
0.0,-0.9390945593257757,dpm,m,0.0,0.0,-0.17021218503139246,0
0.0,-1.0280253557114354,dpm,m,0.0,0.0,-0.02182216176254748,1
1.0,-0.7315893677592359,dpm,m,0.0,0.0,-0.09248407760485447,1
1.0,0.9284521647730817,dpm,m,0.0,1.0,1.4620780709258987,1
0.0,0.3059365900734627,dpm,m,0.0,1.0,0.5552501509496263,0
0.0,-0.0675727547463087,dpm,m,0.0,1.0,0.6847969966605219,0
0.0,-0.3165789846261565,dpm,m,0.0,1.0,0.2529741776242018,0
0.0,-0.49444057739747627,dpm,m,0.0,1.0,0.37388456695437167,1
0.0,-0.627836771975966,dpm,m,0.0,1.0,0.4728112491336015,0
0.0,-0.7315893677592359,dpm,m,0.0,1.0,0.5552501509496263,1
0.0,-0.8145914443858517,dpm,m,0.0,1.0,0.6250061447939547,1
0.0,-0.8825022343530828,dpm,m,0.0,1.0,0.6847969966605219,1
0.0,-0.9390945593257757,dpm,m,0.0,1.0,0.7366157349448808,1
0.0,-0.9869803727642078,dpm,m,0.0,1.0,0.7819571309436942,1
0.0,-1.0280253557114354,dpm,m,0.0,1.0,0.8219642450602943,1
0.0,-1.5616101340253947,dpm,m,0.0,1.0,-0.351577769026647,0
0.0,-1.5616101340253947,dpm,m,0.0,1.0,0.1018361909614896,1
1.0,-0.627836771975966,dpm,m,0.0,1.0,0.5552501509496263,1
0.0,-0.8145914443858517,dpm,m,0.0,1.0,0.6847969966605219,1
1.0,0.9284521647730817,dpm,m,0.0,0.0,1.4620780709258987,0
0.0,0.3059365900734627,dpm,m,0.0,0.0,1.4620780709258987,0
1.0,2.17348331417232,dpm,f,2.0,3.0,1.4620780709258987,0
1.0,1.4264646245327772,dpm,f,2.0,3.0,1.4620780709258987,0
1.0,1.1063137575444015,dpm,f,2.0,3.0,1.4620780709258987,0
0.0,0.7728232710981771,dpm,f,2.0,3.0,0.1018361909614896,1
1.0,0.8152675148276964,dpm,f,2.0,3.0,-0.13820649373811175,1
0.0,0.6171943774232724,dpm,f,2.0,3.0,-0.04930179570122259,1
0.0,0.44959403038875934,dpm,f,2.0,3.0,0.030244513068625745,1
1.0,0.43043970501338646,dpm,f,2.0,3.0,0.16660961381693742,0
0.0,0.3059365900734627,dpm,f,2.0,3.0,0.2254945436855267,1
0.0,0.1960809004205887,dpm,f,2.0,3.0,0.1018361909614896,0
0.0,0.0984313985069229,dpm,f,2.0,3.0,-0.002797799805003638,1
0.0,0.011060791531537755,dpm,f,2.0,3.0,0.051456862073918676,1
1.0,0.22473890641699068,dpm,f,2.0,3.0,0.1018361909614896,1
1.0,0.3059365900734627,dpm,f,2.0,3.0,-0.008453691197786894,1
1.0,0.3059365900734627,dpm,f,2.0,3.0,0.06695819403932539,1
0.0,0.24153842717350218,dpm,f,2.0,3.0,0.002306297305557141,1
0.0,0.18143347513353889,dpm,f,2.0,3.0,-0.05633146949948849,1
0.0,0.12520626193486353,dpm,f,2.0,3.0,-0.02182216176254748,1
0.0,-1.5616101340253947,dpm,f,3.0,3.0,-0.351577769026647,1
1.0,2.17348331417232,dpm,m,0.0,0.0,-1.647046226135608,0
1.0,1.2397099521228914,dpm,m,0.0,0.0,-0.9561297156774952,0
1.0,1.1063137575444015,dpm,m,0.0,0.0,-1.077040105007665,0
0.0,0.7728232710981771,dpm,m,0.0,0.0,-1.2584056890029196,1
0.0,0.5134417816400025,dpm,m,0.0,0.0,-1.3879525347138157,0
0.0,0.3059365900734627,dpm,m,0.0,0.0,-1.6769416520688916,1
0.0,0.1361596151553847,dpm,m,0.0,0.0,-1.727454613128578,1
0.0,-0.005321197276346802,dpm,m,0.0,0.0,-1.6211368569934286,1
0.0,-1.5616101340253947,dpm,m,0.0,1.0,1.4620780709258987,0
1.0,0.6794459348932341,dpm,m,0.0,1.0,0.6847969966605219,0
1.0,0.5727289792304422,dpm,m,0.0,1.0,0.85752612427505,1
0.0,-1.5616101340253947,dpm,f,0.0,0.0,1.4620780709258987,0
1.0,0.9284521647730817,dpm,m,0.0,0.0,-0.351577769026647,1
1.0,2.17348331417232,dpm,m,0.0,0.0,1.4620780709258987,0
1.0,2.17348331417232,dpm,m,0.0,1.0,-0.351577769026647,1
0.0,0.3059365900734627,dpm,m,0.0,1.0,0.1018361909614896,1
0.0,-0.3165789846261565,dpm,m,0.0,1.0,-0.8697651518702314,1
0.0,-0.627836771975966,dpm,m,0.0,1.0,-0.578284749020715,1
1.0,0.3059365900734627,dpm,m,0.0,1.0,-0.21206578133798953,1
0.0,0.0984313985069229,dpm,m,0.0,1.0,-0.351577769026647,1
0.0,-0.0675727547463087,dpm,m,0.0,1.0,-0.458263406670914,1
0.0,-0.2033943346807711,dpm,m,0.0,1.0,-0.351577769026647,1
0.0,-0.3165789846261565,dpm,m,0.0,1.0,-0.2561221985028285,1
0.0,-0.4123506115030208,dpm,m,0.0,1.0,-0.17021218503139246,1
0.0,-0.49444057739747627,dpm,m,0.0,1.0,-0.578284749020715,1
0.0,-0.5655852145060041,dpm,m,0.0,1.0,-0.6306017444039613,1
0.0,-0.627836771975966,dpm,m,0.0,1.0,-0.5530950845769296,1
0.0,-0.682764616802403,dpm,m,0.0,1.0,-0.48112461473754264,1
1.0,-0.5786908055523119,dpm,m,0.0,1.0,-0.6813333762907459,1
1.0,-0.26244719552184176,dpm,m,0.0,1.0,-0.5424889100742833,1
0.0,-0.3165789846261565,dpm,m,0.0,1.0,-0.49108975671530386,1
0.0,-0.36638023060212593,dpm,m,0.0,1.0,-0.6106714604484389,0
1.0,-0.22764818824049654,dpm,m,0.0,1.0,-0.6216967239131961,1
0.0,-0.2736468760261826,dpm,m,0.0,1.0,-0.6476848449372664,1
1.0,-0.23625439434233456,dpm,m,0.0,1.0,-0.6306017444039613,1
0.0,-0.27767176120743026,dpm,m,0.0,1.0,-0.5911172195864172,1
0.0,-0.3165789846261565,dpm,m,0.0,1.0,-0.5530950845769296,1
1.0,2.17348331417232,dpm,m,2.0,3.0,1.4620780709258987,0
0.0,-1.5616101340253947,dpm,m,2.0,3.0,-2.1652336089791926,1
0.0,-1.5616101340253947,dpm,m,2.0,3.0,-1.9385266289851242,1
0.0,-1.5616101340253947,dpm,m,2.0,3.0,-1.560681662328344,1
0.0,-1.5616101340253947,dpm,m,0.0,1.0,-1.2584056890029196,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-2.1652336089791926,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.9385266289851242,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.560681662328344,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.2584056890029196,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.0110889835548453,0
1.0,-1.0280253557114354,dpm,m,1.0,1.0,-1.077040105007665,1
0.0,-1.0947234530006804,dpm,m,1.0,1.0,-0.9183452190118173,0
1.0,-0.8145914443858517,dpm,m,1.0,1.0,-0.6538537423520708,0
0.0,-0.8825022343530828,dpm,m,1.0,1.0,-0.5424889100742833,0
1.0,-0.6996654921336143,dpm,m,1.0,1.0,-0.351577769026647,0
0.0,-0.7612329665544558,dpm,m,1.0,1.0,-0.43043237076371393,0
0.0,-0.8145914443858517,dpm,m,1.0,1.0,-0.6306017444039613,0
0.0,-0.8612801124883231,dpm,m,1.0,1.0,-0.5530950845769296,0
1.0,0.3059365900734627,dpm,f,0.0,1.0,1.4620780709258987,0
0.0,-0.3165789846261565,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,-0.627836771975966,dpm,f,0.0,1.0,1.4620780709258987,1
1.0,2.17348331417232,dpm,m,1.0,1.0,1.4620780709258987,0
0.0,0.3059365900734627,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.3165789846261565,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.627836771975966,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.8145914443858517,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-0.9390945593257757,dpm,m,1.0,1.0,0.7819571309436942,1
0.0,-1.0280253557114354,dpm,m,1.0,1.0,0.85752612427505,1
0.0,-1.0947234530006804,dpm,m,1.0,1.0,0.1018361909614896,1
0.0,-1.1465997508923154,dpm,m,1.0,1.0,0.20647018172798284,1
1.0,1.6398985358583607,dpm,f,1.0,1.0,1.4620780709258987,1
1.0,1.3434625479061613,dpm,f,1.0,1.0,1.4620780709258987,0
1.0,1.2397099521228914,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,1.0242237916499461,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,0.8395213683874221,dpm,f,1.0,1.0,1.1220176009347964,1
0.0,0.6794459348932341,dpm,f,1.0,1.0,1.1420211579930966,0
1.0,2.17348331417232,dpm,m,2.0,3.0,-1.8025024409886832,1
0.0,0.3059365900734627,dpm,m,2.0,3.0,-1.647046226135608,1
0.0,-0.3165789846261565,dpm,m,2.0,3.0,-1.560681662328344,1
0.0,-0.627836771975966,dpm,m,2.0,3.0,-1.2584056890029196,1
0.0,-0.8145914443858517,dpm,m,2.0,3.0,-1.0110889835548453,1
0.0,-0.9390945593257757,dpm,m,2.0,3.0,-0.804991729014783,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,1.4620780709258987,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,-0.714308937017156,1
0.0,-1.5616101340253947,dpm,f,1.0,1.0,-0.351577769026647,1
1.0,-0.3165789846261565,dpm,f,1.0,1.0,0.2529741776242018,1
0.0,-0.49444057739747627,dpm,f,1.0,1.0,-0.02182216176254748,1
1.0,-0.3165789846261565,dpm,f,1.0,1.0,-0.09248407760485447,1
0.0,-0.4410820995660803,dpm,f,1.0,1.0,0.011153398963862048,1
1.0,1.4264646245327772,dpm,f,0.0,1.0,1.4620780709258987,1
1.0,1.1063137575444015,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,0.7728232710981771,dpm,f,0.0,1.0,1.4620780709258987,0
1.0,1.2397099521228914,dpm,m,1.0,2.0,0.5552501509496263,0
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.8025024409886832,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-1.2584056890029196,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.8697651518702314,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.578284749020715,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.351577769026647,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.17021218503139246,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.02182216176254748,1
1.0,2.17348331417232,dpm,m,1.0,1.0,1.4620780709258987,0
0.0,0.3059365900734627,dpm,m,1.0,1.0,0.1018361909614896,1
0.0,-0.3165789846261565,dpm,m,1.0,1.0,-0.8697651518702314,1
0.0,-0.627836771975966,dpm,m,1.0,1.0,-0.9561297156774952,1
0.0,-0.8145914443858517,dpm,m,1.0,1.0,-0.714308937017156,0
1.0,0.3059365900734627,dpm,m,0.0,1.0,0.1018361909614896,1
1.0,0.6794459348932341,dpm,m,0.0,1.0,0.6847969966605219,1
0.0,0.3059365900734627,dpm,m,0.0,1.0,0.7819571309436942,1
0.0,0.03914420091648298,dpm,m,0.0,1.0,0.85752612427505,0
1.0,0.3059365900734627,dpm,m,0.0,1.0,0.6250061447939547,0
0.0,0.1361596151553847,dpm,m,0.0,1.0,0.6847969966605219,0
0.0,-0.005321197276346802,dpm,m,0.0,1.0,0.7366157349448808,1
1.0,0.3059365900734627,dpm,m,0.0,1.0,0.8893446477829897,1
1.0,0.3059365900734627,dpm,f,3.0,3.0,-1.2584056890029196,1
0.0,-0.3165789846261565,dpm,f,3.0,3.0,-1.560681662328344,1
0.0,-0.627836771975966,dpm,f,3.0,3.0,-1.8862096336018777,1
0.0,-0.8145914443858517,dpm,f,3.0,3.0,-2.260689179503011,1
0.0,-0.9390945593257757,dpm,f,3.0,3.0,-2.0745508169815654,0
1.0,-0.0675727547463087,dpm,f,3.0,3.0,-1.5848637401943777,1
0.0,-1.5616101340253947,dpm,m,2.0,1.0,-2.424327300400985,0
0.0,-1.5616101340253947,dpm,m,2.0,1.0,-2.346599192974447,0
0.0,-1.5616101340253947,dpm,m,2.0,1.0,-2.0003558053471426,0
0.0,-1.5616101340253947,dpm,m,2.0,1.0,-1.8862096336018777,1
1.0,-0.9390945593257757,dpm,m,2.0,1.0,-1.598466158994022,1
0.0,-1.0280253557114354,dpm,m,2.0,1.0,-1.9061399175574003,1
0.0,-1.0947234530006804,dpm,m,2.0,1.0,-1.8498152020309235,1
1.0,0.3059365900734627,dpm,m,1.0,1.0,-1.647046226135608,1
0.0,-0.3165789846261565,dpm,m,1.0,1.0,-1.2584056890029196,1
